-0.0020,1.3786,-1.4390,0.7623,-1.0827
0.7196,0.3687,-0.7019,1.1568,0.5004
0.1243,0.6222,0.3371,0.0759,1.0670
-0.6896,0.3953,0.4347,0.9969,0.2056
-0.3701,0.5158,0.7899,1.4085,1.2937
-0.1436,-0.5688,-0.5963,0.7245,-0.8949
-0.3486,-1.7627,-1.0285,0.6739,-0.5218
-1.1011,1.0804,0.0382,1.0999,-0.0701
0.1550,0.3503,-0.6040,-0.6171,-0.3421
-0.3930,-1.0176,-0.8099,-0.7771,0.5114
-0.3999,0.6241,0.1738,-0.2817,1.5780
0.0411,1.0246,-0.5440,-0.9194,-0.2865
2.2684,-1.0279,0.6365,1.0284,0.5375
1.3101,0.3050,-0.3368,-1.2819,-0.2024
-0.7215,-0.7026,-0.5195,-0.3686,-0.9498
0.2308,0.7066,0.5070,-1.0397,0.5124
0.1402,-0.4324,0.1796,0.0251,-0.5185
0.7812,-0.7492,-0.1151,-0.5474,0.7393
-1.3821,0.1165,0.3287,-1.0435,0.1844
-0.9531,-1.1087,1.1002,-0.9621,-0.0472
1.2456,0.7409,1.0217,-1.4967,0.3399
1.0354,-1.2464,-0.8825,-0.6097,-1.6597
1.6004,-0.5544,-0.1597,0.1106,-0.0909
2.0202,-0.0626,1.7287,-0.0528,-0.0171
-0.7279,0.1780,1.4067,-1.5366,-0.2172
-1.1001,-1.2226,0.3745,-0.4951,0.8354
-0.8530,0.1729,1.7482,1.1933,0.3943
0.0869,-0.5458,-1.0173,0.3146,-1.2538
1.0707,-0.5157,-0.7213,0.1865,-0.1078
-0.3764,0.1158,-0.2888,0.2253,-0.1673
-0.9155,-0.1175,0.1922,-0.5304,1.4681
1.0279,0.9195,0.0770,-0.6318,0.9272
0.8900,0.5487,1.0300,0.1397,0.0291
1.6243,0.5576,-0.1077,-0.6631,-0.8368
-0.0200,0.4014,-0.4246,0.3142,0.3156
0.0584,-0.2792,-0.3586,-0.2066,-1.7386
-1.9034,0.7113,-1.7538,-0.4005,0.4533
-0.4962,-0.5023,1.0836,-0.6093,1.8240
0.6348,1.4192,0.8612,0.0174,0.5631
1.7255,-0.5770,0.1909,0.3453,0.9410
0.5951,-0.5376,-0.1433,-0.7080,-0.9794
-1.9258,0.3960,-0.4826,0.1320,-2.1099
-1.5044,0.5940,-0.5705,0.0982,-0.3053
0.0717,0.1631,-0.8712,1.6311,-1.0195
